t,y1,y2,,t,y1,y2
0,-1,1.25,,0,-1,1.25
0.01,-1.00985,1.252463,,0.01,-1.00985,1.252463
0.02,-1.019403,1.254852,,0.02,-1.019403,1.254852
0.03,-1.028666,1.25717,,0.03,-1.028666,1.25717
0.04,-1.037644,1.259421,,0.04,-1.037644,1.259421
0.05,-1.046342,1.261605,,0.05,-1.046342,1.261605
0.06,-1.054763,1.263725,,¡¦,,
0.07,-1.062914,1.265783,,4.94,-0.076401,34.985356
0.08,-1.070797,1.267781,,4.95,-0.075754,35.336185
0.09,-1.078419,1.269722,,4.96,-0.075111,35.690547
0.1,-1.085783,1.271606,,4.97,-0.074473,36.048476
0.11,-1.092894,1.273437,,4.98,-0.07384,36.410009
0.12,-1.099756,1.275216,,4.99,-0.073211,36.775182
0.13,-1.106373,1.276945,,5,-0.072587,37.14403
0.14,-1.112749,1.278627,,,,
0.15,-1.118889,1.280262,,,,
0.16,-1.124797,1.281853,,,,
0.17,-1.130476,1.283402,,,,
0.18,-1.135931,1.284911,,,,
0.19,-1.141166,1.286381,,,,
0.2,-1.146184,1.287814,,,,
0.21,-1.150989,1.289212,,,,
0.22,-1.155585,1.290578,,,,
0.23,-1.159975,1.291911,,,,
0.24,-1.164164,1.293216,,,,
0.25,-1.168154,1.294492,,,,
0.26,-1.17195,1.295741,,,,
0.27,-1.175555,1.296967,,,,
0.28,-1.178972,1.298169,,,,
0.29,-1.182205,1.29935,,,,
0.3,-1.185256,1.300511,,,,
0.31,-1.18813,1.301654,,,,
0.32,-1.190829,1.302781,,,,
0.33,-1.193357,1.303892,,,,
0.34,-1.195717,1.30499,,,,
0.35,-1.197911,1.306077,,,,
0.36,-1.199944,1.307153,,,,
0.37,-1.201818,1.30822,,,,
0.38,-1.203535,1.30928,,,,
0.39,-1.205099,1.310334,,,,
0.4,-1.206513,1.311384,,,,
0.41,-1.20778,1.312431,,,,
0.42,-1.208902,1.313477,,,,
0.43,-1.209882,1.314522,,,,
0.44,-1.210723,1.315569,,,,
0.45,-1.211427,1.316618,,,,
0.46,-1.211997,1.317672,,,,
