t,y1,y1 엄밀해,상대오차1(%),y2,y2 엄밀해,상대오차2(%),,t,y1,y1 엄밀해,상대오차1(%),y2,y2 엄밀해,상대오차2(%)
0,8,8,0,3,3,0,,0,8,8,0,3,3,0
0.1,8.999387,8.999661,0.003041,1.540721,1.540538,0.011888,,0.1,8.999387,8.999661,0.003041,1.540721,1.540538,0.011888
0.2,10.76946,10.770277,0.007586,-0.356882,-0.357428,0.152736,,0.2,10.76946,10.770277,0.007586,-0.356882,-0.357428,0.152736
0.3,13.662613,13.664442,0.013384,-2.934922,-2.936143,0.041583,,0.3,13.662613,13.664442,0.013384,-2.934922,-2.936143,0.041583
0.4,18.207059,18.210698,0.01998,-6.552037,-6.554465,0.037039,,0.4,18.207059,18.210698,0.01998,-6.552037,-6.554465,0.037039
0.5,25.193036,25.199822,0.026928,-11.740933,-11.745459,0.038535,,0.5,25.193036,25.199822,0.026928,-11.740933,-11.745459,0.038535
0.6,35.801439,35.813587,0.033921,-19.294193,-19.302295,0.041971,,0.6,35.801439,35.813587,0.033921,-19.294193,-19.302295,0.041971
0.7,51.795723,51.816867,0.040806,-30.392268,-30.406367,0.046368,,… 중간 생략 …,,,,,,
0.8,75.808186,75.844235,0.047531,-46.79438,-46.818416,0.051338,,9.4,6.36933E+16,6.4061E+16,0.574051,-4.24622E+16,-4.27073E+16,0.574051
0.9,111.76705,111.827552,0.054102,-71.123284,-71.163621,0.056682,,9.5,9.50134E+16,9.55678E+16,0.58014,-6.33422E+16,-6.37119E+16,0.58014
1,165.533563,165.633847,0.060546,-107.290044,-107.356903,0.062277,,9.6,1.41735E+17,1.4257E+17,0.586229,-9.44897E+16,-9.50469E+16,0.586229
1.1,245.852399,246.016961,0.066891,-161.127671,-161.237382,0.068043,,9.7,2.1143E+17,2.1269E+17,0.592317,-1.40953E+17,-1.41793E+17,0.592317
1.2,365.769414,366.037224,0.073165,-241.336322,-241.514864,0.073926,,9.8,3.15398E+17,3.17296E+17,0.598405,-2.10265E+17,-2.11531E+17,0.598405
1.3,544.746578,545.179385,0.079388,-360.893285,-361.181825,0.079888,,9.9,4.70489E+17,4.7335E+17,0.604493,-3.13659E+17,-3.15567E+17,0.604493
1.4,811.816889,812.512207,0.085576,-539.156282,-539.61983,0.085903,,10,7.01844E+17,7.06156E+17,0.61058,-4.67896E+17,-4.70771E+17,0.61058
1.5,1210.29068,1211.402031,0.091741,-805.001033,-805.741936,0.091953,,,,,,,,
1.6,1804.776178,1806.544596,0.09789,-1201.501646,-1202.680593,0.098027,,,,,,,,
1.7,2691.652323,2694.455293,0.104027,-1792.912517,-1794.781166,0.104116,,,,,,,,
1.8,4014.69141,4019.118788,0.110158,-2675.083447,-2678.035034,0.110215,,,,,,,,
1.9,5988.363932,5995.335528,0.116284,-3990.996214,-3995.643947,0.11632,,,,,,,,
2,8932.603182,8943.550638,0.122406,-5953.940992,-5961.239298,0.122429,,,,,,,,
2.1,13324.66478,13341.81253,0.128526,-8882.089382,-8893.521213,0.128541,,,,,,,,
2.2,19876.48726,19903.28604,0.134645,-13250.06815,-13267.934,0.134654,,,,,,,,
2.3,29650.09345,29691.88847,0.140762,-19765.89348,-19793.75682,0.140768,,,,,,,,
2.4,44229.73853,44294.79829,0.146879,-29485.73637,-29529.10954,0.146883,,,,,,,,
2.5,65978.70908,66079.80781,0.152995,-43985.12201,-44052.52117,0.152997,,,,,,,,
2.6,98422.39874,98579.24839,0.15911,-65614.31355,-65718.87998,0.159112,,,,,,,,
2.7,146819.755,147062.7394,0.165225,-97879.27662,-98041.26625,0.165226,,,,,,,,
2.8,219015.7253,219391.6296,0.171339,-146009.9768,-146260.5796,0.17134,,,,,,,,
2.9,326712.8795,327293.6729,0.177453,-217808.1278,-218195.3234,0.177454,,,,,,,,
3,487368.3313,488264.6232,0.183567,-324911.806,-325509.3339,0.183567,,,,,,,,
3.1,727023.4394,728405.0777,0.18968,-484681.9175,-485603.0098,0.18968,,,,,,,,
3.2,1084524.966,1086652.553,0.195793,-723016.3046,-724434.6954,0.195793,,,,,,,,
3.3,1617821.924,1621094.996,0.201905,-1078547.642,-1080729.69,0.201905,,,,,,,,
3.4,2413358.783,2418389.444,0.208017,-1608905.577,-1612259.351,0.208017,,,,,,,,
3.5,3600087.643,3607813.003,0.214129,-2400058.177,-2405208.417,0.214129,,,,,,,,
3.6,5370370.652,5382224.454,0.22024,-3580246.874,-3588149.409,0.22024,,,,,,,,
3.7,8011160.834,8029335.289,0.226351,-5340773.683,-5352889.987,0.226351,,,,,,,,
3.8,11950515.58,11978360.62,0.232461,-7967010.201,-7985573.559,0.232461,,,,,,,,
3.9,17826982.38,17869614.14,0.238571,-11884654.75,-11913075.93,0.238571,,,,,,,,
4,26593103.79,26658331.65,0.244681,-17728735.71,-17772220.95,0.244681,,,,,,,,
4.1,39669819.3,39769557.5,0.25079,-26446546.06,-26513038.2,0.25079,,,,,,,,
