t,엄밀해,수치해,상대오차(%),,,,t,엄밀해,수치해,상대오차(%)
0,2,2,0,,,,0,2,2,0
0.1,2.942078,2.9915,1.679839,,,,0.1,2.942078,2.9915,1.679839
0.2,3.740452,3.93132,5.10281,,,,0.2,3.740452,3.93132,5.10281
0.3,4.363505,4.766809,9.242652,,,,0.3,4.363505,4.766809,9.242652
0.4,4.795285,5.446957,13.589866,,,,0.4,4.795285,5.446957,13.589866
0.5,5.036921,5.925079,17.632948,,,,0.5,5.036921,5.925079,17.632948
0.6,5.10653,6.161832,20.665727,,,,… 중간 생략 …,,,
0.7,5.037596,6.127758,21.640524,,,,9.5,41.61381,18.808257,54.802848
0.8,4.875976,5.805446,19.062247,,,,9.6,41.665216,18.569887,55.430719
0.9,4.675809,5.191166,11.021792,,,,9.7,41.885481,17.500045,58.219306
1,4.494675,4.29584,4.423796,,,,9.8,42.29463,15.643348,63.013393
1.1,4.388456,3.145282,28.328291,,,,9.9,42.895815,13.080229,69.506982
1.2,4.406342,1.779664,59.611308,,,,10,43.675036,9.9234,77.27901
1.3,4.586434,0.252196,94.501257,,,,,,,
1.4,4.952348,-1.372932,127.722851,,,,,,,
1.5,5.511097,-3.023276,154.857964,,,,,,,
1.6,6.252472,-4.621403,173.913217,,,,,,,
1.7,7.149948,-6.088562,185.15533,,,,,,,
1.8,8.163058,-7.348568,190.022245,,,,,,,
1.9,9.241004,-8.331723,190.160368,,,,,,,
2,10.327198,-8.978564,186.940949,,,,,,,
2.1,11.364313,-9.243239,181.335659,,,,,,,
2.2,12.299409,-9.09634,173.95754,,,,,,,
2.3,13.088657,-8.527011,165.148099,,,,,,,
2.4,13.701257,-7.544212,155.062193,,,,,,,
2.5,14.122187,-6.177049,143.740032,,,,,,,
2.6,14.353549,-4.474113,131.170779,,,,,,,
2.7,14.414377,-2.501839,117.356554,,,,,,,
2.8,14.338937,-0.341929,102.38462,,,,,,,
2.9,14.173669,1.912057,86.509797,,,,,,,
3,13.973038,4.158802,70.23695,,,,,,,
3.1,13.794665,6.293844,54.3748,,,,,,,
3.2,13.694186,8.214477,40.014859,,,,,,,
3.3,13.720277,9.824727,28.39265,,,,,,,
3.4,13.910307,11.040139,20.63339,,,,,,,
3.5,14.287004,11.792159,17.46234,,,,,,,
3.6,14.856418,12.03186,19.012376,,,,,,,
3.7,15.607387,11.732844,24.825059,,,,,,,
