t,수치해,엄밀해,상대오차(%),,,t,수치해,엄밀해,상대오차(%),,,,,,,,
0,0,1,100,,,0,0,1,100,t,수치해,엄밀해,상대오차(%),t,수치해,엄밀해,상대오차(%)
0.01,10,2.032865,391.916652,,,0.01,10,2.032865,391.916652,0,0,1,100,0,0,1,100
0.02,-29.801987,2.078376,1533.907566,,,0.02,-29.801987,2.078376,1533.907566,0.01,10,2.032865,391.916652,0.0001,0.1,1.049171,90.468661
0.03,129.600053,2.116471,6023.40426,,,0.03,129.600053,2.116471,6023.40426,0.02,-29.801987,2.078376,1533.907566,0.0002,0.19502,1.095962,82.205594
0.04,-507.817855,2.153767,23678.12073,,,0.04,-507.817855,2.153767,23678.12073,0.03,129.600053,2.116471,6023.40426,0.0003,0.285309,1.140492,74.983685
0.05,2042.040259,2.190325,93130.00494,,,0.05,2042.040259,2.190325,93130.00494,0.04,-507.817855,2.153767,23678.12073,0.0004,0.371104,1.182869,68.626818
0.06,-8157.209408,2.226159,366525.2618,,,… 중간 생략 …,,,,0.05,2042.040259,2.190325,93130.00494,0.0005,0.452628,1.223198,62.996323
0.07,32639.96843,2.261284,1443326.621,,,0.95,3.12607E+57,3.700863,8.44687E+58,… 중간 생략 …,,,,… 중간 생략 …,,,
0.08,-130548.5673,2.295712,5686725.469,,,0.96,-1.25043E+58,3.706786,3.37335E+59,0.95,3.12607E+57,3.700863,8.44687E+58,0.9995,3.727971,3.729059,0.029176
0.09,522205.7478,2.32946,22417363.38,,,0.97,5.00172E+58,3.712592,1.34723E+60,0.96,-1.25043E+58,3.706786,3.37335E+59,0.9996,3.728025,3.729113,0.02917
0.1,-2088811.344,2.362538,88413954.38,,,0.98,-2.00069E+59,3.718283,5.38067E+60,0.97,5.00172E+58,3.712592,1.34723E+60,0.9997,3.728079,3.729167,0.029164
0.11,8355257.188,2.394962,348867889.5,,,0.99,8.00274E+59,3.723862,2.14904E+61,0.98,-2.00069E+59,3.718283,5.38067E+60,0.9998,3.728134,3.729221,0.029158
0.12,-33421016.78,2.426744,1377195756,,,1,-3.2011E+60,3.729329,8.58357E+61,0.99,8.00274E+59,3.723862,2.14904E+61,0.9999,3.728188,3.729275,0.029151
0.13,133684079.2,2.457897,5438962093,,,,,,,1,-3.2011E+60,3.729329,8.58357E+61,1,3.728243,3.729329,0.029145
0.14,-534736304.7,2.488433,21488881192,,,,,,,,,,,,,,
0.15,2138945231,2.518364,84933933434,,,,,,,,,,,,,,
0.16,-8555780912,2.547702,3.35823E+11,,,,,,,,,,,,,,
0.17,34223123659,2.576459,1.3283E+12,,,,,,,,,,,,,,
0.18,-1.36892E+11,2.604647,5.2557E+12,,,,,,,,,,,,,,
0.19,5.4757E+11,2.632277,2.08021E+13,,,,,,,,,,,,,,
0.2,-2.19028E+12,2.65936,8.23612E+13,,,,,,,,,,,,,,
0.21,8.76112E+12,2.685906,3.26189E+14,,,,,,,,,,,,,,
0.22,-3.50445E+13,2.711927,1.29224E+15,,,,,,,,,,,,,,
0.23,1.40178E+14,2.737433,5.12078E+15,,,,,,,,,,,,,,
0.24,-5.60712E+14,2.762433,2.02977E+16,,,,,,,,,,,,,,
0.25,2.24285E+15,2.786939,8.04771E+16,,,,,,,,,,,,,,
0.26,-8.97139E+15,2.810959,3.19158E+17,,,,,,,,,,,,,,
0.27,3.58855E+16,2.834503,1.26603E+18,,,,,,,,,,,,,,
0.28,-1.43542E+17,2.857582,5.0232E+18,,,,,,,,,,,,,,
0.29,5.74169E+17,2.880203,1.9935E+19,,,,,,,,,,,,,,
0.3,-2.29667E+18,2.902377,7.91308E+19,,,,,,,,,,,,,,
0.31,9.1867E+18,2.924111,3.14171E+20,,,,,,,,,,,,,,
0.32,-3.67468E+19,2.945415,1.24759E+21,,,,,,,,,,,,,,
0.33,1.46987E+20,2.966297,4.95524E+21,,,,,,,,,,,,,,
0.34,-5.87949E+20,2.986766,1.96851E+22,,,,,,,,,,,,,,
0.35,2.3518E+21,3.006829,7.82151E+22,,,,,,,,,,,,,,
0.36,-9.40718E+21,3.026495,3.10828E+23,,,,,,,,,,,,,,
0.37,3.76287E+22,3.045772,1.23544E+24,,,,,,,,,,,,,,
0.38,-1.50515E+23,3.064667,4.9113E+24,,,,,,,,,,,,,,
0.39,6.0206E+23,3.083188,1.95272E+25,,,,,,,,,,,,,,
0.4,-2.40824E+24,3.101342,7.76515E+25,,,,,,,,,,,,,,
0.41,9.63295E+24,3.119137,3.08834E+26,,,,,,,,,,,,,,
0.42,-3.85318E+25,3.136579,1.22847E+27,,,,,,,,,,,,,,
0.43,1.54127E+26,3.153676,4.88723E+27,,,,,,,,,,,,,,
0.44,-6.16509E+26,3.170434,1.94456E+28,,,,,,,,,,,,,,
0.45,2.46604E+27,3.186861,7.73814E+28,,,,,,,,,,,,,,
0.46,-9.86414E+27,3.202962,3.07969E+29,,,,,,,,,,,,,,
0.47,3.94566E+28,3.218744,1.22584E+30,,,,,,,,,,,,,,
0.48,-1.57826E+29,3.234214,4.8799E+30,,,,,,,,,,,,,,
0.49,6.31305E+29,3.249378,1.94285E+31,,,,,,,,,,,,,,
0.5,-2.52522E+30,3.264241,7.73601E+31,,,,,,,,,,,,,,
0.51,1.01009E+31,3.27881,3.08066E+32,,,,,,,,,,,,,,
0.52,-4.04035E+31,3.293091,1.22692E+33,,,,,,,,,,,,,,
0.53,1.61614E+32,3.307088,4.8869E+33,,,,,,,,,,,,,,
0.54,-6.46457E+32,3.320809,1.94668E+34,,,,,,,,,,,,,,
0.55,2.58583E+33,3.334258,7.75533E+34,,,,,,,,,,,,,,
0.56,-1.03433E+34,3.34744,3.08991E+35,,,,,,,,,,,,,,
0.57,4.13732E+34,3.360362,1.23121E+36,,,,,,,,,,,,,,
0.58,-1.65493E+35,3.373028,4.90636E+36,,,,,,,,,,,,,,
0.59,6.61971E+35,3.385443,1.95535E+37,,,,,,,,,,,,,,
0.6,-2.64789E+36,3.397612,7.79337E+37,,,,,,,,,,,,,,
0.61,1.05915E+37,3.40954,3.10644E+38,,,,,,,,,,,,,,
0.62,-4.23662E+37,3.421232,1.23833E+39,,,,,,,,,,,,,,
0.63,1.69465E+38,3.432692,4.93679E+39,,,,,,,,,,,,,,
0.64,-6.77859E+38,3.443925,1.96827E+40,,,,,,,,,,,,,,
0.65,2.71144E+39,3.454936,7.848E+40,,,,,,,,,,,,,,
0.66,-1.08457E+40,3.465729,3.12943E+41,,,,,,,,,,,,,,
0.67,4.3383E+40,3.476309,1.24796E+42,,,,,,,,,,,,,,
0.68,-1.73532E+41,3.486678,4.977E+42,,,,,,,,,,,,,,
0.69,6.94127E+41,3.496843,1.98501E+43,,,,,,,,,,,,,,
0.7,-2.77651E+42,3.506806,7.91749E+43,,,,,,,,,,,,,,
0.71,1.1106E+43,3.516572,3.1582E+44,,,,,,,,,,,,,,
0.72,-4.44242E+43,3.526144,1.25985E+45,,,,,,,,,,,,,,
0.73,1.77697E+44,3.535527,5.02603E+45,,,,,,,,,,,,,,
0.74,-7.10786E+44,3.544725,2.0052E+46,,,,,,,,,,,,,,
0.75,2.84315E+45,3.55374,8.00043E+46,,,,,,,,,,,,,,
0.76,-1.13726E+46,3.562576,3.19224E+47,,,,,,,,,,,,,,
0.77,4.54903E+46,3.571238,1.2738E+48,,,,,,,,,,,,,,
0.78,-1.81961E+47,3.579728,5.08311E+48,,,,,,,,,,,,,,
0.79,7.27845E+47,3.58805,2.02853E+49,,,,,,,,,,,,,,
0.8,-2.91138E+48,3.596207,8.0957E+49,,,,,,,,,,,,,,
0.81,1.16455E+49,3.604203,3.2311E+50,,,,,,,,,,,,,,
0.82,-4.65821E+49,3.61204,1.28963E+51,,,,,,,,,,,,,,
0.83,1.86328E+50,3.619722,5.14759E+51,,,,,,,,,,,,,,
0.84,-7.45314E+50,3.627252,2.05476E+52,,,,,,,,,,,,,,
