t,수치해,엄밀해,상대오차(%)
0.000000,0.000000,1.000000,100.000000
0.000100,0.100000,1.049171,90.468661
0.000200,0.195020,1.095962,82.205594
0.000300,0.285309,1.140492,74.983685
0.000400,0.371104,1.182869,68.626818
0.000500,0.452628,1.223198,62.996323
0.000600,0.530097,1.261580,57.981523
0.000700,0.603712,1.298110,53.493005
0.000800,0.673666,1.332877,49.457749
0.000900,0.740143,1.365969,45.815534
0.001000,0.803315,1.397465,42.516249
0.001100,0.863350,1.427445,39.517858
0.001200,0.920402,1.455983,36.784835
0.001300,0.974621,1.483147,34.286951
0.001400,1.026150,1.509007,31.998320
0.001500,1.075122,1.533624,29.896650
0.001600,1.121666,1.557061,27.962635
0.001700,1.165902,1.579374,26.179478
0.001800,1.207946,1.600617,24.532489
0.001900,1.247908,1.620845,23.008770
0.002000,1.285892,1.640105,21.596949
0.002100,1.321997,1.658445,20.286960
0.002200,1.356316,1.675910,19.069863
0.002300,1.388939,1.692542,17.937689
0.002400,1.419951,1.708383,16.883315
0.002500,1.449432,1.723470,15.900351
0.002600,1.477460,1.737841,14.983052
0.002700,1.504105,1.751531,14.126239
0.002800,1.529439,1.764572,13.325228
0.002900,1.553525,1.776996,12.575779
0.003000,1.576427,1.788834,11.874038
0.003100,1.598204,1.800114,11.216498
0.003200,1.618912,1.810863,10.599964
0.003300,1.638604,1.821107,10.021513
0.003400,1.657332,1.830870,9.478472
0.003500,1.675143,1.840177,8.968389
0.003600,1.692083,1.849049,8.489014
0.003700,1.708197,1.857508,8.038276
0.003800,1.723524,1.865574,7.614266
0.003900,1.738105,1.873265,7.215226
0.004000,1.751977,1.880601,6.839529
0.004100,1.765175,1.887598,6.485672
0.004200,1.777733,1.894273,6.152263
0.004300,1.789682,1.900642,5.838011
0.004400,1.801055,1.906720,5.541719
0.004500,1.811878,1.912520,5.262273
0.004600,1.822180,1.918057,4.998638
0.004700,1.831987,1.923343,4.749851
0.004800,1.841323,1.928390,4.515014
0.004900,1.850212,1.933211,4.293290
0.005000,1.858677,1.937815,4.083897
0.005100,1.866738,1.942215,3.886107
0.005200,1.874416,1.946419,3.699236
0.005300,1.881730,1.950437,3.522646
0.005400,1.888698,1.954278,3.355741
0.005500,1.895337,1.957952,3.197961
0.005600,1.901664,1.961465,3.048783
0.005700,1.907695,1.964826,2.907713
0.005800,1.913443,1.968043,2.774291
0.005900,1.918925,1.971122,2.648085
0.006000,1.924151,1.974070,2.528688
0.006100,1.929137,1.976893,2.415717
0.006200,1.933892,1.979598,2.308813
0.006300,1.938430,1.982190,2.207639
0.006400,1.942761,1.984675,2.111877
0.006500,1.946895,1.987058,2.021227
0.006600,1.950841,1.989343,1.935409
0.006700,1.954611,1.991537,1.854156
0.006800,1.958211,1.993643,1.777219
0.006900,1.961651,1.995665,1.704362
0.007000,1.964939,1.997608,1.635363
0.007100,1.968083,1.999475,1.570012
0.007200,1.971089,2.001270,1.508113
0.007300,1.973964,2.002997,1.449477
0.007400,1.976715,2.004659,1.393930
0.007500,1.979348,2.006258,1.341306
0.007600,1.981870,2.007799,1.291446
0.007700,1.984285,2.009284,1.244203
0.007800,1.986599,2.010716,1.199438
0.007900,1.988817,2.012097,1.157017
