t,수치해,엄밀해,상대오차(%),,,,h=0.01,,,,h=0.0001,,,
0,0,1,100,,,,t,수치해,엄밀해,상대오차(%),t,수치해,엄밀해,상대오차(%)
0.01,1.732018,2.032865,14.79917,,,,0,0,1,100,0,0,1,100
0.02,2.052395,2.078376,1.250031,,,,0.01,1.732018,2.032865,14.79917,0.0001,0.095276,1.049171,90.918904
0.03,2.136872,2.116471,0.963933,,,,0.02,2.052395,2.078376,1.250031,0.0002,0.186034,1.095962,83.025472
0.04,2.181416,2.153767,1.28375,,,,0.03,2.136872,2.116471,0.963933,0.0003,0.27249,1.140492,76.10768
0.05,2.218702,2.190325,1.295553,,,,0.04,2.181416,2.153767,1.28375,0.0004,0.354847,1.182869,70.001107
0.06,2.254187,2.226159,1.259006,,,,0.05,2.218702,2.190325,1.295553,0.0005,0.433302,1.223198,64.576281
0.07,2.288791,2.261284,1.216474,,,,… 중간 생략 …,,,,… 중간 생략 …,,,
0.08,2.322682,2.295712,1.174761,,,,0.95,3.705597,3.700863,0.127912,0.9995,3.728025,3.729059,0.027724
0.09,2.355896,2.32946,1.13486,,,,0.96,3.711426,3.706786,0.125179,0.9996,3.728079,3.729113,0.027718
0.1,2.388451,2.362538,1.09682,,,,0.97,3.71714,3.712592,0.122508,0.9997,3.728134,3.729167,0.027712
0.11,2.420362,2.394962,1.060547,,,,0.98,3.722741,3.718283,0.119899,0.9998,3.728188,3.729221,0.027706
0.12,2.451641,2.426744,1.025933,,,,0.99,3.728231,3.723862,0.117348,0.9999,3.728242,3.729275,0.0277
0.13,2.482301,2.457897,0.992872,,,,1,3.733613,3.729329,0.114856,1,3.728297,3.729329,0.027694
0.14,2.512353,2.488433,0.96127,,,,,,,,,,,
0.15,2.54181,2.518364,0.931037,,,,,,,,,,,
0.16,2.570685,2.547702,0.902092,,,,,,,,,,,
0.17,2.598987,2.576459,0.87436,,,,,,,,,,,
0.18,2.626729,2.604647,0.847771,,,,,,,,,,,
0.19,2.653921,2.632277,0.822262,,,,,,,,,,,
0.2,2.680576,2.65936,0.797772,,,,,,,,,,,
0.21,2.706702,2.685906,0.774246,,,,,,,,,,,
0.22,2.732311,2.711927,0.751633,,,,,,,,,,,
0.23,2.757413,2.737433,0.729885,,,,,,,,,,,
0.24,2.782018,2.762433,0.708958,,,,,,,,,,,
0.25,2.806135,2.786939,0.688809,,,,,,,,,,,
0.26,2.829775,2.810959,0.6694,,,,,,,,,,,
0.27,2.852947,2.834503,0.650695,,,,,,,,,,,
0.28,2.875661,2.857582,0.632659,,,,,,,,,,,
0.29,2.897924,2.880203,0.615261,,,,,,,,,,,
0.3,2.919747,2.902377,0.598471,,,,,,,,,,,
0.31,2.941137,2.924111,0.58226,,,,,,,,,,,
0.32,2.962104,2.945415,0.566603,,,,,,,,,,,
0.33,2.982656,2.966297,0.551473,,,,,,,,,,,
0.34,3.0028,2.986766,0.536849,,,,,,,,,,,
0.35,3.022546,3.006829,0.522707,,,,,,,,,,,
0.36,3.041901,3.026495,0.509028,,,,,,,,,,,
0.37,3.060873,3.045772,0.495791,,,,,,,,,,,
0.38,3.079469,3.064667,0.482977,,,,,,,,,,,
0.39,3.097697,3.083188,0.47057,,,,,,,,,,,
0.4,3.115563,3.101342,0.458552,,,,,,,,,,,
0.41,3.133076,3.119137,0.446908,,,,,,,,,,,
0.42,3.150243,3.136579,0.435622,,,,,,,,,,,
0.43,3.167069,3.153676,0.424681,,,,,,,,,,,
0.44,3.183562,3.170434,0.414072,,,,,,,,,,,
0.45,3.199729,3.186861,0.403781,,,,,,,,,,,
0.46,3.215575,3.202962,0.393796,,,,,,,,,,,
0.47,3.231108,3.218744,0.384105,,,,,,,,,,,
0.48,3.246333,3.234214,0.374699,,,,,,,,,,,
0.49,3.261256,3.249378,0.365565,,,,,,,,,,,
0.5,3.275884,3.264241,0.356695,,,,,,,,,,,
0.51,3.290223,3.27881,0.348078,,,,,,,,,,,
0.52,3.304277,3.293091,0.339706,,,,,,,,,,,
0.53,3.318054,3.307088,0.33157,,,,,,,,,,,
0.54,3.331557,3.320809,0.323662,,,,,,,,,,,
0.55,3.344793,3.334258,0.315973,,,,,,,,,,,
0.56,3.357767,3.34744,0.308497,,,,,,,,,,,
0.57,3.370484,3.360362,0.301226,,,,,,,,,,,
0.58,3.382949,3.373028,0.294152,,,,,,,,,,,
0.59,3.395168,3.385443,0.28727,,,,,,,,,,,
0.6,3.407144,3.397612,0.280573,,,,,,,,,,,
0.61,3.418884,3.40954,0.274056,,,,,,,,,,,
0.62,3.430391,3.421232,0.267711,,,,,,,,,,,
0.63,3.44167,3.432692,0.261534,,,,,,,,,,,
0.64,3.452725,3.443925,0.255519,,,,,,,,,,,
0.65,3.463562,3.454936,0.249661,,,,,,,,,,,
0.66,3.474184,3.465729,0.243955,,,,,,,,,,,
0.67,3.484596,3.476309,0.238397,,,,,,,,,,,
0.68,3.494802,3.486678,0.232981,,,,,,,,,,,
0.69,3.504805,3.496843,0.227704,,,,,,,,,,,
0.7,3.514611,3.506806,0.222561,,,,,,,,,,,
0.71,3.524222,3.516572,0.217548,,,,,,,,,,,
0.72,3.533643,3.526144,0.212662,,,,,,,,,,,
0.73,3.542878,3.535527,0.207898,,,,,,,,,,,
0.74,3.551929,3.544725,0.203252,,,,,,,,,,,
0.75,3.560802,3.55374,0.198722,,,,,,,,,,,
0.76,3.569498,3.562576,0.194304,,,,,,,,,,,
0.77,3.578023,3.571238,0.189995,,,,,,,,,,,
0.78,3.586379,3.579728,0.185791,,,,,,,,,,,
0.79,3.594569,3.58805,0.18169,,,,,,,,,,,
0.8,3.602597,3.596207,0.177688,,,,,,,,,,,
0.81,3.610466,3.604203,0.173783,,,,,,,,,,,
