t,수치해,엄밀해,상대오차(%),,,,,t,수치해,엄밀해,상대오차(%)
0,0,1,100,,,,,0,0,1,100
0.0001,0.095276,1.049171,90.918904,,,,,0.0001,0.095276,1.049171,90.918904
0.0002,0.186034,1.095962,83.025472,,,,,0.0002,0.186034,1.095962,83.025472
0.0003,0.27249,1.140492,76.10768,,,,,0.0003,0.27249,1.140492,76.10768
0.0004,0.354847,1.182869,70.001107,,,,,0.0004,0.354847,1.182869,70.001107
0.0005,0.433302,1.223198,64.576281,,,,,0.0005,0.433302,1.223198,64.576281
0.0006,0.50804,1.26158,59.729858,,,,,,,,
0.0007,0.579238,1.29811,55.378344,,,,,0.9995,3.728025,3.729059,0.027724
0.0008,0.647065,1.332877,51.453542,,,,,0.9996,3.728079,3.729113,0.027718
0.0009,0.711681,1.365969,47.899203,,,,,0.9997,3.728134,3.729167,0.027712
0.001,0.773238,1.397465,44.668512,,,,,0.9998,3.728188,3.729221,0.027706
0.0011,0.831884,1.427445,41.72219,,,,,0.9999,3.728242,3.729275,0.0277
0.0012,0.887756,1.455983,39.027035,,,,,1,3.728297,3.729329,0.027694
0.0013,0.940986,1.483147,36.554787,,,,,,,,
0.0014,0.991701,1.509007,34.281241,,,,,,,,
0.0015,1.040019,1.533624,32.185541,,,,,,,,
0.0016,1.086056,1.557061,30.249625,,,,,,,,
0.0017,1.129919,1.579374,28.457763,,,,,,,,
0.0018,1.171713,1.600617,26.796198,,,,,,,,
0.0019,1.211535,1.620845,25.252843,,,,,,,,
0.002,1.24948,1.640105,23.817033,,,,,,,,
0.0021,1.285637,1.658445,22.479324,,,,,,,,
0.0022,1.320092,1.67591,21.231321,,,,,,,,
0.0023,1.352924,1.692542,20.065535,,,,,,,,
0.0024,1.384213,1.708383,18.975267,,,,,,,,
0.0025,1.41403,1.72347,17.954501,,,,,,,,
0.0026,1.442446,1.737841,16.997825,,,,,,,,
0.0027,1.469528,1.751531,16.100352,,,,,,,,
0.0028,1.495339,1.764572,15.25766,,,,,,,,
0.0029,1.519941,1.776996,14.465736,,,,,,,,
0.003,1.543389,1.788834,13.720934,,,,,,,,
0.0031,1.56574,1.800114,13.01993,,,,,,,,
0.0032,1.587046,1.810863,12.359686,,,,,,,,
0.0033,1.607356,1.821107,11.737426,,,,,,,,
0.0034,1.626717,1.83087,11.150602,,,,,,,,
0.0035,1.645176,1.840177,10.596875,,,,,,,,
0.0036,1.662774,1.849049,10.074093,,,,,,,,
0.0037,1.679554,1.857508,9.580272,,,,,,,,
0.0038,1.695553,1.865574,9.113582,,,,,,,,
0.0039,1.71081,1.873265,8.672329,,,,,,,,
0.004,1.725358,1.880601,8.254949,,,,,,,,
0.0041,1.739233,1.887598,7.859987,,,,,,,,
0.0042,1.752466,1.894273,7.486097,,,,,,,,
0.0043,1.765088,1.900642,7.132025,,,,,,,,
0.0044,1.777127,1.90672,6.796605,,,,,,,,
0.0045,1.788613,1.91252,6.478753,,,,,,,,
0.0046,1.79957,1.918057,6.177455,,,,,,,,
0.0047,1.810024,1.923343,5.891766,,,,,,,,
0.0048,1.819999,1.92839,5.620804,,,,,,,,
0.0049,1.829518,1.933211,5.363742,,,,,,,,
0.005,1.838603,1.937815,5.119807,,,,,,,,
0.0051,1.847274,1.942215,4.888275,,,,,,,,
0.0052,1.855551,1.946419,4.668468,,,,,,,,
0.0053,1.863452,1.950437,4.459746,,,,,,,,
0.0054,1.870996,1.954278,4.261513,,,,,,,,
