t,theta,,t,theta
0,0.785398,,0,0.785398
0.05,0.747502,,0.05,0.747502
0.1,0.637481,,0.1,0.637481
0.15,0.465952,,0.15,0.465952
0.2,0.249466,,0.2,0.249466
0.25,0.008912,,0.25,0.008912
0.3,-0.232499,,0.3,-0.232499
0.35,-0.451473,,0.35,-0.451473
0.4,-0.626883,,0.4,-0.626883
0.45,-0.741803,,0.45,-0.741803
0.5,-0.785146,,0.5,-0.785146
0.55,-0.752731,,0.55,-0.752731
0.6,-0.647687,,0.6,-0.647687
0.65,-0.480149,,0.65,-0.480149
0.7,-0.266285,,0.7,-0.266285
0.75,-0.02673,,0.75,-0.02673
0.8,0.215401,,,
0.85,0.436746,,,
0.9,0.615946,,,
0.95,0.735713,,,
1,0.78449,,,
1.05,0.757572,,,
1.1,0.657558,,,
1.15,0.494098,,,
1.2,0.282965,,,
1.25,0.044532,,,
1.3,-0.198195,,,
1.35,-0.421795,,,
1.4,-0.604694,,,
1.45,-0.729245,,,
1.5,-0.78343,,,
1.55,-0.762022,,,
1.6,-0.667089,,,
1.65,-0.50779,,,
1.7,-0.299497,,,
1.75,-0.062309,,,
1.8,0.180889,,,
1.85,0.406629,,,
1.9,0.593132,,,
1.95,0.722402,,,
2,0.781966,,,
2.05,0.766079,,,
2.1,0.676275,,,
2.15,0.521219,,,
2.2,0.315873,,,
2.25,0.080051,,,
2.3,-0.163491,,,
2.35,-0.391256,,,
2.4,-0.581266,,,
2.45,-0.715187,,,
2.5,-0.7801,,,
2.55,-0.769741,,,
2.6,-0.685111,,,
2.65,-0.534377,,,
2.7,-0.332083,,,
2.75,-0.09775,,,
2.8,0.146012,,,
2.85,0.375683,,,
2.9,0.569101,,,
2.95,0.707606,,,
3,0.777833,,,
3.05,0.773006,,,
3.1,0.693594,,,
3.15,0.547259,,,
3.2,0.348121,,,
3.25,0.115396,,,
3.3,-0.12846,,,
3.35,-0.359918,,,
3.4,-0.556646,,,
3.45,-0.699661,,,
3.5,-0.775165,,,
3.55,-0.775873,,,
3.6,-0.701718,,,
3.65,-0.559857,,,
3.7,-0.363978,,,
3.75,-0.132981,,,
3.8,0.110844,,,
3.85,0.34397,,,
3.9,0.543905,,,
3.95,0.691356,,,
4,0.772098,,,
4.05,0.778339,,,
4.1,0.70948,,,
4.15,0.572165,,,
4.2,0.379645,,,
4.25,0.150495,,,
4.3,-0.093173,,,
4.35,-0.327847,,,
4.4,-0.530886,,,
4.45,-0.682697,,,
4.5,-0.768633,,,
4.55,-0.780405,,,
4.6,-0.716876,,,
4.65,-0.584177,,,
4.7,-0.395114,,,
4.75,-0.167929,,,
4.8,0.075456,,,
4.85,0.311558,,,
4.9,0.517594,,,
4.95,0.673687,,,
5,0.764774,,,
5.05,0.782068,,,
5.1,0.723901,,,
5.15,0.595887,,,
5.2,0.410378,,,
5.25,0.185275,,,
5.3,-0.057703,,,
5.35,-0.295109,,,
5.4,-0.504038,,,
5.45,-0.664331,,,
5.5,-0.760521,,,
5.55,-0.783328,,,
5.6,-0.730553,,,
5.65,-0.607288,,,
5.7,-0.425429,,,
5.75,-0.202523,,,
5.8,0.039922,,,
5.85,0.278511,,,
5.9,0.490224,,,
5.95,0.654634,,,
6,0.755877,,,
6.05,0.784185,,,
6.1,0.736827,,,
6.15,0.618375,,,
6.2,0.440259,,,
6.25,0.219664,,,
6.3,-0.022123,,,
6.35,-0.261772,,,
6.4,-0.47616,,,
6.45,-0.644601,,,
6.5,-0.750844,,,
6.55,-0.784637,,,
6.6,-0.742722,,,
6.65,-0.629142,,,
6.7,-0.45486,,,
6.75,-0.23669,,,
6.8,0.004314,,,
6.85,0.244899,,,
6.9,0.461852,,,
6.95,0.634238,,,
7,0.745425,,,
7.05,0.784685,,,
7.1,0.748233,,,
7.15,0.639584,,,
7.2,0.469225,,,
7.25,0.253592,,,
7.3,0.013494,,,
7.35,-0.227903,,,
7.4,-0.447307,,,
7.45,-0.623549,,,
7.5,-0.739622,,,
7.55,-0.78433,,,
7.6,-0.753357,,,
7.65,-0.649695,,,
7.7,-0.483346,,,
7.75,-0.270362,,,
7.8,-0.031293,,,
7.85,0.210792,,,
7.9,0.432535,,,
7.95,0.61254,,,
8,0.73344,,,
8.05,0.78357,,,
8.1,0.758094,,,
8.15,0.65947,,,
8.2,0.497217,,,
8.25,0.28699,,,
8.3,0.049074,,,
8.35,-0.193574,,,
8.4,-0.417541,,,
8.45,-0.601217,,,
8.5,-0.726881,,,
8.55,-0.782407,,,
8.6,-0.762439,,,
8.65,-0.668904,,,
8.7,-0.51083,,,
8.75,-0.303468,,,
8.8,-0.066827,,,
8.85,0.176258,,,
8.9,0.402334,,,
8.95,0.589586,,,
9,0.719948,,,
9.05,0.780841,,,
9.1,0.766391,,,
9.15,0.677993,,,
9.2,0.524178,,,
9.25,0.319787,,,
9.3,0.084544,,,
9.35,-0.158854,,,
9.4,-0.386922,,,
9.45,-0.577653,,,
9.5,-0.712645,,,
9.55,-0.778873,,,
9.6,-0.769947,,,
9.65,-0.686731,,,
9.7,-0.537254,,,
9.75,-0.33594,,,
9.8,-0.102214,,,
9.85,0.141371,,,
9.9,0.371313,,,
9.95,0.565424,,,
10,0.704976,,,
